"","GW","id","home","team_h","away","team_a","finished","kickoff","team_h_score","team_a_score"
"1",NA,379,"BUR",4,"MUN",13,FALSE,NA,NA,NA
"2",NA,380,"MCI",12,"AVL",2,FALSE,NA,NA,NA
"3",1,2,"FUL",8,"ARS",1,TRUE,"2020-09-12T11:30:00Z",0,3
"4",1,1,"CRY",6,"SOU",16,TRUE,"2020-09-12T14:00:00Z",1,0
"5",1,3,"LIV",11,"LEE",10,TRUE,"2020-09-12T16:30:00Z",4,3
"6",1,6,"WHU",19,"NEW",14,TRUE,"2020-09-12T19:00:00Z",0,2
"7",1,5,"WBA",18,"LEI",9,TRUE,"2020-09-13T13:00:00Z",0,3
"8",1,4,"TOT",17,"EVE",7,TRUE,"2020-09-13T15:30:00Z",0,1
"9",1,8,"SHU",15,"WOL",20,TRUE,"2020-09-14T17:00:00Z",0,2
"10",1,7,"BHA",3,"CHE",5,TRUE,"2020-09-14T19:15:00Z",1,3
"11",2,12,"EVE",7,"WBA",18,TRUE,"2020-09-19T11:30:00Z",5,2
"12",2,13,"LEE",10,"FUL",8,TRUE,"2020-09-19T14:00:00Z",4,3
"13",2,15,"MUN",13,"CRY",6,TRUE,"2020-09-19T16:30:00Z",1,3
"14",2,9,"ARS",1,"WHU",19,TRUE,"2020-09-19T19:00:00Z",2,1
"15",2,17,"SOU",16,"TOT",17,TRUE,"2020-09-20T11:00:00Z",2,5
"16",2,16,"NEW",14,"BHA",3,TRUE,"2020-09-20T13:00:00Z",0,3
"17",2,11,"CHE",5,"LIV",11,TRUE,"2020-09-20T15:30:00Z",0,2
"18",2,14,"LEI",9,"BUR",4,TRUE,"2020-09-20T18:00:00Z",4,2
"19",2,10,"AVL",2,"SHU",15,TRUE,"2020-09-21T17:00:00Z",1,0
"20",2,18,"WOL",20,"MCI",12,TRUE,"2020-09-21T19:15:00Z",1,3
"21",3,19,"BHA",3,"MUN",13,TRUE,"2020-09-26T11:30:00Z",2,3
"22",3,21,"CRY",6,"EVE",7,TRUE,"2020-09-26T14:00:00Z",1,2
"23",3,27,"WBA",18,"CHE",5,TRUE,"2020-09-26T16:30:00Z",3,3
"24",3,20,"BUR",4,"SOU",16,TRUE,"2020-09-26T19:00:00Z",0,1
"25",3,25,"SHU",15,"LEE",10,TRUE,"2020-09-27T11:00:00Z",0,1
"26",3,26,"TOT",17,"NEW",14,TRUE,"2020-09-27T13:00:00Z",1,1
"27",3,24,"MCI",12,"LEI",9,TRUE,"2020-09-27T15:30:00Z",2,5
"28",3,28,"WHU",19,"WOL",20,TRUE,"2020-09-27T18:00:00Z",4,0
"29",3,22,"FUL",8,"AVL",2,TRUE,"2020-09-28T16:45:00Z",0,3
"30",3,23,"LIV",11,"ARS",1,TRUE,"2020-09-28T19:00:00Z",3,1
"31",4,31,"CHE",5,"CRY",6,TRUE,"2020-10-03T11:30:00Z",4,0
"32",4,32,"EVE",7,"BHA",3,TRUE,"2020-10-03T14:00:00Z",4,2
"33",4,33,"LEE",10,"MCI",12,TRUE,"2020-10-03T16:30:00Z",1,1
"34",4,36,"NEW",14,"BUR",4,TRUE,"2020-10-03T19:00:00Z",3,1
"35",4,34,"LEI",9,"WHU",19,TRUE,"2020-10-04T11:00:00Z",0,3
"36",4,37,"SOU",16,"WBA",18,TRUE,"2020-10-04T11:00:00Z",2,0
"37",4,29,"ARS",1,"SHU",15,TRUE,"2020-10-04T13:00:00Z",2,1
"38",4,38,"WOL",20,"FUL",8,TRUE,"2020-10-04T13:00:00Z",1,0
"39",4,35,"MUN",13,"TOT",17,TRUE,"2020-10-04T15:30:00Z",1,6
"40",4,30,"AVL",2,"LIV",11,TRUE,"2020-10-04T18:15:00Z",7,2
"41",5,41,"EVE",7,"LIV",11,TRUE,"2020-10-17T11:30:00Z",2,2
"42",5,39,"CHE",5,"SOU",16,TRUE,"2020-10-17T14:00:00Z",3,3
"43",5,44,"MCI",12,"ARS",1,TRUE,"2020-10-17T16:30:00Z",1,0
"44",5,45,"NEW",14,"MUN",13,TRUE,"2020-10-17T19:00:00Z",1,4
"45",5,46,"SHU",15,"FUL",8,TRUE,"2020-10-18T11:00:00Z",1,1
"46",5,40,"CRY",6,"BHA",3,TRUE,"2020-10-18T13:00:00Z",1,1
"47",5,47,"TOT",17,"WHU",19,TRUE,"2020-10-18T15:30:00Z",3,3
"48",5,43,"LEI",9,"AVL",2,TRUE,"2020-10-18T18:15:00Z",0,1
"49",5,48,"WBA",18,"BUR",4,TRUE,"2020-10-19T16:30:00Z",0,0
"50",5,42,"LEE",10,"WOL",20,TRUE,"2020-10-19T19:00:00Z",0,1
"51",6,50,"AVL",2,"LEE",10,TRUE,"2020-10-23T19:00:00Z",0,3
"52",6,57,"WHU",19,"MCI",12,TRUE,"2020-10-24T11:30:00Z",1,1
"53",6,53,"FUL",8,"CRY",6,TRUE,"2020-10-24T14:00:00Z",1,2
"54",6,55,"MUN",13,"CHE",5,TRUE,"2020-10-24T16:30:00Z",0,0
"55",6,54,"LIV",11,"SHU",15,TRUE,"2020-10-24T19:00:00Z",2,1
"56",6,56,"SOU",16,"EVE",7,TRUE,"2020-10-25T14:00:00Z",2,0
"57",6,58,"WOL",20,"NEW",14,TRUE,"2020-10-25T16:30:00Z",1,1
"58",6,49,"ARS",1,"LEI",9,TRUE,"2020-10-25T19:15:00Z",0,1
"59",6,51,"BHA",3,"WBA",18,TRUE,"2020-10-26T17:30:00Z",1,1
"60",6,52,"BUR",4,"TOT",17,TRUE,"2020-10-26T20:00:00Z",0,1
"61",7,68,"WOL",20,"CRY",6,TRUE,"2020-10-30T20:00:00Z",2,0
"62",7,66,"SHU",15,"MCI",12,TRUE,"2020-10-31T12:30:00Z",0,1
"63",7,60,"BUR",4,"CHE",5,TRUE,"2020-10-31T15:00:00Z",0,3
"64",7,63,"LIV",11,"WHU",19,TRUE,"2020-10-31T17:30:00Z",2,1
"65",7,59,"AVL",2,"SOU",16,TRUE,"2020-11-01T12:00:00Z",3,4
"66",7,65,"NEW",14,"EVE",7,TRUE,"2020-11-01T14:00:00Z",2,1
"67",7,64,"MUN",13,"ARS",1,TRUE,"2020-11-01T16:30:00Z",0,1
"68",7,67,"TOT",17,"BHA",3,TRUE,"2020-11-01T19:15:00Z",2,1
"69",7,61,"FUL",8,"WBA",18,TRUE,"2020-11-02T17:30:00Z",2,0
"70",7,62,"LEE",10,"LEI",9,TRUE,"2020-11-02T20:00:00Z",1,4
"71",8,70,"BHA",3,"BUR",4,TRUE,"2020-11-06T17:30:00Z",0,0
"72",8,76,"SOU",16,"NEW",14,TRUE,"2020-11-06T20:00:00Z",2,0
"73",8,73,"EVE",7,"MUN",13,TRUE,"2020-11-07T12:30:00Z",1,3
"74",8,72,"CRY",6,"LEE",10,TRUE,"2020-11-07T15:00:00Z",4,1
"75",8,71,"CHE",5,"SHU",15,TRUE,"2020-11-07T17:30:00Z",4,1
"76",8,78,"WHU",19,"FUL",8,TRUE,"2020-11-07T20:00:00Z",1,0
"77",8,77,"WBA",18,"TOT",17,TRUE,"2020-11-08T12:00:00Z",0,1
"78",8,74,"LEI",9,"WOL",20,TRUE,"2020-11-08T14:00:00Z",1,0
"79",8,75,"MCI",12,"LIV",11,TRUE,"2020-11-08T16:30:00Z",1,1
"80",8,69,"ARS",1,"AVL",2,TRUE,"2020-11-08T19:15:00Z",0,3
"81",9,85,"NEW",14,"CHE",5,FALSE,"2020-11-21T12:30:00Z",NA,NA
"82",9,79,"AVL",2,"BHA",3,FALSE,"2020-11-21T15:00:00Z",NA,NA
"83",9,80,"BUR",4,"CRY",6,FALSE,"2020-11-21T15:00:00Z",NA,NA
"84",9,81,"FUL",8,"EVE",7,FALSE,"2020-11-21T15:00:00Z",NA,NA
"85",9,83,"LIV",11,"LEI",9,FALSE,"2020-11-21T15:00:00Z",NA,NA
"86",9,84,"MUN",13,"WBA",18,FALSE,"2020-11-21T15:00:00Z",NA,NA
"87",9,88,"WOL",20,"SOU",16,FALSE,"2020-11-21T15:00:00Z",NA,NA
"88",9,87,"TOT",17,"MCI",12,FALSE,"2020-11-21T17:30:00Z",NA,NA
"89",9,86,"SHU",15,"WHU",19,FALSE,"2020-11-22T14:00:00Z",NA,NA
"90",9,82,"LEE",10,"ARS",1,FALSE,"2020-11-22T16:30:00Z",NA,NA
"91",10,90,"BHA",3,"LIV",11,FALSE,"2020-11-28T12:30:00Z",NA,NA
"92",10,89,"ARS",1,"WOL",20,FALSE,"2020-11-28T15:00:00Z",NA,NA
"93",10,92,"CRY",6,"NEW",14,FALSE,"2020-11-28T15:00:00Z",NA,NA
"94",10,94,"LEI",9,"FUL",8,FALSE,"2020-11-28T15:00:00Z",NA,NA
"95",10,95,"MCI",12,"BUR",4,FALSE,"2020-11-28T15:00:00Z",NA,NA
"96",10,97,"WBA",18,"SHU",15,FALSE,"2020-11-28T15:00:00Z",NA,NA
"97",10,93,"EVE",7,"LEE",10,FALSE,"2020-11-28T17:30:00Z",NA,NA
"98",10,96,"SOU",16,"MUN",13,FALSE,"2020-11-29T14:00:00Z",NA,NA
"99",10,91,"CHE",5,"TOT",17,FALSE,"2020-11-29T16:30:00Z",NA,NA
"100",10,98,"WHU",19,"AVL",2,FALSE,"2020-11-30T20:00:00Z",NA,NA
"101",11,99,"AVL",2,"NEW",14,FALSE,"2020-12-05T15:00:00Z",NA,NA
"102",11,100,"BHA",3,"SOU",16,FALSE,"2020-12-05T15:00:00Z",NA,NA
"103",11,101,"BUR",4,"EVE",7,FALSE,"2020-12-05T15:00:00Z",NA,NA
"104",11,102,"CHE",5,"LEE",10,FALSE,"2020-12-05T15:00:00Z",NA,NA
"105",11,103,"LIV",11,"WOL",20,FALSE,"2020-12-05T15:00:00Z",NA,NA
"106",11,104,"MCI",12,"FUL",8,FALSE,"2020-12-05T15:00:00Z",NA,NA
"107",11,105,"SHU",15,"LEI",9,FALSE,"2020-12-05T15:00:00Z",NA,NA
"108",11,106,"TOT",17,"ARS",1,FALSE,"2020-12-05T15:00:00Z",NA,NA
"109",11,107,"WBA",18,"CRY",6,FALSE,"2020-12-05T15:00:00Z",NA,NA
"110",11,108,"WHU",19,"MUN",13,FALSE,"2020-12-05T15:00:00Z",NA,NA
"111",12,110,"CRY",6,"TOT",17,FALSE,"2020-12-12T15:00:00Z",NA,NA
"112",12,111,"EVE",7,"CHE",5,FALSE,"2020-12-12T15:00:00Z",NA,NA
"113",12,112,"FUL",8,"LIV",11,FALSE,"2020-12-12T15:00:00Z",NA,NA
"114",12,113,"LEE",10,"WHU",19,FALSE,"2020-12-12T15:00:00Z",NA,NA
"115",12,115,"MUN",13,"MCI",12,FALSE,"2020-12-12T15:00:00Z",NA,NA
"116",12,116,"NEW",14,"WBA",18,FALSE,"2020-12-12T15:00:00Z",NA,NA
"117",12,117,"SOU",16,"SHU",15,FALSE,"2020-12-12T15:00:00Z",NA,NA
"118",12,118,"WOL",20,"AVL",2,FALSE,"2020-12-12T15:00:00Z",NA,NA
"119",12,109,"ARS",1,"BUR",4,FALSE,"2020-12-13T15:00:00Z",NA,NA
"120",12,114,"LEI",9,"BHA",3,FALSE,"2020-12-13T15:00:00Z",NA,NA
"121",13,119,"ARS",1,"SOU",16,FALSE,"2020-12-15T19:45:00Z",NA,NA
"122",13,120,"AVL",2,"BUR",4,FALSE,"2020-12-15T19:45:00Z",NA,NA
"123",13,121,"FUL",8,"BHA",3,FALSE,"2020-12-15T19:45:00Z",NA,NA
"124",13,122,"LEE",10,"NEW",14,FALSE,"2020-12-15T19:45:00Z",NA,NA
"125",13,123,"LEI",9,"EVE",7,FALSE,"2020-12-15T19:45:00Z",NA,NA
"126",13,124,"SHU",15,"MUN",13,FALSE,"2020-12-15T19:45:00Z",NA,NA
"127",13,125,"WHU",19,"CRY",6,FALSE,"2020-12-15T19:45:00Z",NA,NA
"128",13,126,"WOL",20,"CHE",5,FALSE,"2020-12-15T19:45:00Z",NA,NA
"129",13,127,"LIV",11,"TOT",17,FALSE,"2020-12-16T20:00:00Z",NA,NA
"130",13,128,"MCI",12,"WBA",18,FALSE,"2020-12-16T20:00:00Z",NA,NA
"131",14,129,"BHA",3,"SHU",15,FALSE,"2020-12-19T15:00:00Z",NA,NA
"132",14,130,"BUR",4,"WOL",20,FALSE,"2020-12-19T15:00:00Z",NA,NA
"133",14,131,"CHE",5,"WHU",19,FALSE,"2020-12-19T15:00:00Z",NA,NA
"134",14,132,"CRY",6,"LIV",11,FALSE,"2020-12-19T15:00:00Z",NA,NA
